#Energy(keV)	 ΔE	mu	Δmu
#Co
1173.228	0.003	6824.8279	0.0142
1332.492	0.004	7751.4819	0.0152
#Cs
661.657	  0.003	3849.7033	0.0188
#Bi
569.698	  0.003	3311.1898	0.0123
1063.656	0.003	6186.9138	0.021
1770.228	0.009	10291.4747	0.1022
#Eu
121.7817	0.0003	707.2828	0.0085
244.6974	0.0008	1421.1037	0.0188
344.2785	0.0012	2002.5638	0.0107
411.1165	0.0012	2392.4175	0.0511
443.965	  0.003	2583.3719	0.0422
778.9045	0.0024	4531.9551	0.0269
867.38	  0.003	5044.3582	0.0547
964.079	  0.018	5608.5044	0.0278
1085.837	0.01	6318.7904	0.0365
#1098.737	0.005	6341.5041	0.1027
1112.076	0.003	6471.0273	0.0322
1212.948	0.011	7055.4466	0.136
1299.142	0.008	7557.704	0.1121
1408.013	0.003	8192.0933	0.0288
#Ba
53.1622	  0.0006	308.906	0.0398
276.3989	0.00012	1605.5608	0.0278
302.8508	0.0005	1759.9832	0.0166
356.0129	0.0007	2070.1485	0.0094
383.8485	0.0012	2232.4554	0.0277
80.30605	0.0012	467.187	0.05085

#Background
1238.122	0.010   7196.79319084265	0.0631804432299583
#
1281	    0.1 7446.58788954413	0.193284098325736
1377.669 0.012    8009.7679	0.075
#
1385.3	  0.1 8054.4019	0.2537
#
1401.5	  0.1 8147.9483	0.1709
1407.988  0.012	 8185.6876	0.1085
1460.820  0.005	 8491.6801	0.0113
#
1496	   0.1 8694.7826	0.3032
1509.211 0.010   8772.2914	0.1164
#
1620.7	0.1 9420.0935	0.204
#
1661.3	 0 9656.42956294844	0.181077052526177
1729.595 0.015	10052.7486663401	0.0887117258917047
1764.491 0.010	10255.1267570749	0.0332435824968332
1847.433 0.017	10735.5473446008	0.112722001114207
2103.51  0.10	 12220.9117755071	0.14689489478356
#
2118.6	 0.1 12307.8694840158	0.182351360100566
2204.10  0.04	 12803.140408059	0.0717589820007012
